,month,Baetid,America,Calliba,Guajir,Caenis,Ulmerit,Farrode,Tricory,Leptohy,Anacro,Hetaeri,Heterag,Libellu,Elga,Perithe,Macrothe,Pseudol,Neocord,Coenag,Nehalen,Argia,Lestida,Perisso,Epigomp,Desmogo,Phyllog,Agriogo,Palaemn,Ambrysu,Rhagove,Hexacyl,Neoelmi,Macrelm,Heterel,Xenelmi,Paracym,Gyrete,Ptiloda,Scirtid,Lutroch,Pelonom,Coleopt,Sialis,Neargyr,Phylloi,Banyall,Marilia,Leptne,Macrone,Smicrid,Macroste,Hydropt,Neotric,Nectops,Oecetis,Triplec,Chimarr,Autroti,Polycen,Cyrnell,Protopti,Anophel,Tipulid,Limonia,Hexatom,Simuli,Ceratop,Forcipo,Xestoch,Tanytar,Chirono,Ortochl,Tanypod,Neoplas,Hemerodr,Chrisop,Clognia,Dixella,Ephyd2,Dolichop,Acari,Platyhe,Sphaeri,Oligoch,Hyrudi,Polycha,Nematom,Copepod,Collemb
Jul99,three,0,0,0,0,0,0,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,104.8,0,0,0,0,0,0,0,0,0,0,104.8,0,0,0,0,0,0,0,0,0,0,419.2,0,0,995.6,733.6,0,3196.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aug99,three,0,314.4,0,0,104.8,0,681.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,52.4,0,314.4,0,943.2,52.4,104.8,1781.6,2672.4,681.2,3353.6,0,0,0,0,0,0,0,0,52.4,0,52.4,0,0,0,52.4,0
Oct99,three,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419.2,0,0,2253.2,1152.8,0,1781.6,0,0,0,0,0,0,0,0,0,52.4,104.8,0,0,0,0,0
Nov99,three,0,471.6,0,0,0,0,1100.4,0,0,157.2,0,0,0,0,0,0,0,0,0,0,0,0,52.4,52.4,0,0,0,0,0,0,104.8,419.2,0,0,0,0,52.4,0,0,0,0,52.4,0,0,366.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,52.4,0,1152.8,0,52.4,1886.4,2148.4,1362.4,4925.6,0,52.4,52.4,0,0,0,0,0,157.2,0,0,0,0,0,0,0
Feb00,three,0,52.4,0,0,0,0,628.8,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,157.2,0,0,0,0,0,0,0,52.4,52.4,0,0,0,52.4,0,0,0,0,0,0,0,209.6,52.4,0,0,1152.8,0,0,0,0,0,0,0,0,0,0,0,0,0,104.8,0,0,0,1257.6,0,314.4,4978,1310,104.8,3510.8,0,0,104.8,0,0,0,0,104.8,104.8,0,0,0,0,104.8,0,0
Apr00,three,0,157.2,52.4,0,52.4,0,471.6,0,0,0,0,0,52.4,0,0,0,0,0,0,0,52.4,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,838.4,0,0,0,262,0,0,0,0,0,0,0,0,0,0,0,0,0,524,0,0,0,314.4,0,262,733.6,4139.6,52.4,2986.8,0,0,0,0,52.4,0,0,0,52.4,0,52.4,0,0,0,0,0
Jun00,three,0,0,104.8,0,52.4,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.8,52.4,0,0,0,0,0,0,0,52.4,0,0,0,786,0,0,1572,0,52.4,2096,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0
Sep00,three,0,104.8,0,0,0,0,314.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,104.8,0,0,0,0,157.2,0,0,0,209.6,0,52.4,890.8,733.6,0,2462.8,0,0,0,0,0,0,0,262,0,0,52.4,0,262,0,0,0
Oct00,three,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,52.4,209.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.2,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,314.4,0,52.4,0,314.4,0,52.4,1467.2,681.2,0,3091.6,104.8,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0
Feb01,three,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,52.4,157.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,1310,0,0,3772.8,4087.2,0,2777.2,0,0,0,0,0,0,0,0,0,0,52.4,0,838.4,0,0,0
Apr01,three,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,104.8,0,0,0,0,0,0,0,0,104.8,52.4,0,0,0,104.8,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,628.8,0,52.4,2305.6,2777.2,0,3510.8,0,0,0,0,0,0,0,0,0,0,104.8,0,209.6,0,0,0
Sep01,three,0,0,0,0,52.4,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,52.4,104.8,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1467.2,104.8,0,1834,2777.2,0,4087.2,0,0,0,0,0,0,0,0,0,0,1519.6,0,366.8,52.4,0,0
Nov01,three,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152.8,0,0,3196.4,4716,0,1938.8,0,0,0,0,0,0,0,0,0,0,52.4,0,1886.4,0,0,0
Dec01,three,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.8,0,52.4,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1205.2,0,52.4,2724.8,3144,0,2253.2,0,0,0,52.4,0,0,0,0,0,0,0,0,1362.4,471.6,0,52.4
Jan02,three,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,52.4,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524,0,262,3772.8,3144,0,2096,0,0,0,0,0,0,0,0,0,0,995.6,0,52.4,104.8,0,52.4
Apr02,three,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1048,0,0,2043.6,2358,628.8,1676.8,0,0,0,0,0,0,0,0,0,0,104.8,0,0,104.8,0,0
Oct02,three,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.2,0,52.4,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,104.8,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,209.6,0,0,2043.6,995.6,0,2253.2,0,0,0,0,0,0,0,0,0,0,104.8,0,419.2,157.2,0,0
Jan03,three,0,0,104.8,0,0,0,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.2,0,0,0,0,0,0,52.4,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,104.8,0,0,0,0,0,0,0,0,0,104.8,0,0,0,0,0,0,838.4,0,0,0,786,52.4,52.4,5292.4,1572,52.4,2672.4,0,0,0,0,0,0,0,209.6,52.4,0,209.6,0,0,0,52.4,0
Feb03,three,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,52.4,0,0,0,1257.6,0,52.4,0,1152.8,0,0,3668,1834,0,2882,0,0,0,0,0,0,0,104.8,0,0,0,0,52.4,0,0,0
Mar03,three,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,0,0,0,157.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,0,0,0,1048,0,52.4,5187.6,3668,104.8,2200.8,0,0,0,0,0,0,0,104.8,0,0,52.4,0,0,0,0,0
Apr03,three,0,0,52.4,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,52.4,0,0,0,0,0,0,209.6,0,0,0,1205.2,0,52.4,2462.8,1676.8,52.4,2253.2,0,0,0,0,0,0,0,104.8,0,0,0,0,0,52.4,0,0
May03,three,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,52.4,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,52.4,52.4,0,0,0,0,0,0,0,419.2,0,0,0,471.6,0,0,1572,2986.8,0,1834,0,0,0,0,0,0,0,52.4,0,0,0,0,0,52.4,0,0
Aug03,three,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,314.4,0,209.6,0,0,0,0,104.8,0,0,0,0,0,0,0,0,0,0,0,0,0,104.8,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,471.6,0,0,0,471.6,0,0,1991.2,1991.2,0,3144,0,0,0,0,0,0,0,104.8,0,0,0,0,52.4,0,0,0
Sep03,three,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.8,0,52.4,0,0,0,0,104.8,0,0,0,0,0,0,0,0,0,0,52.4,0,0,52.4,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,786,0,0,4192,1991.2,0,2096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oct03,three,0,0,0,0,0,0,104.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,52.4,52.4,0,0,0,0,0,0,314.4,0,0,0,890.8,0,52.4,1938.8,1048,104.8,1781.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nov03,three,0,0,0,0,0,0,104.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.2,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.8,0,0,0,0,0,0,209.6,0,52.4,0,471.6,0,104.8,3458.4,1100.4,0,1676.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jan04,three,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,52.4,0,0,0,0,157.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.8,0,0,0,838.4,0,0,0,995.6,0,0,3772.8,2934.4,0,3458.4,0,0,0,0,0,0,0,157.2,0,0,0,0,0,0,0,0
May04,three,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.8,0,0,0,0,0,0,52.4,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,0,52.4,0,838.4,0,157.2,3144,1729.2,0,2305.6,0,0,0,0,0,0,0,0,52.4,0,0,0,52.4,0,0,0
May05,three,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,943.2,0,0,2829.6,4087.2,0,1362.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Set06,three,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,104.8,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,838.4,0,0,2724.8,1886.4,0,3930,0,0,104.8,0,0,0,0,0,0,0,0,0,0,0,0,0
Set07,three,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,419.2,0,52.4,628.8,733.6,0,471.6,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0
Feb08,three,0,0,52.4,0,0,0,104.8,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,52.4,52.4,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366.8,0,157.2,366.8,366.8,366.8,2829.6,0,0,52.4,0,0,0,0,0,0,0,52.4,0,0,0,0,0
Set08,three,0,0,52.4,0,0,0,104.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314.4,0,0,0,0,0,0,104.8,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.2,0,0,0,314.4,0,314.4,0,2043.6,0,52.4,4558.8,1938.8,314.4,1519.6,0,0,0,0,0,0,0,0,0,0,576.4,0,52.4,0,0,0
May09,three,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1519.6,0,0,995.6,2253.2,0,1991.2,52.4,157.2,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0
Sep09,three,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,838.4,0,0,366.8,1624.4,0,1834,0,0,52.4,0,0,0,0,52.4,0,0,0,0,0,0,0,0
May10,three,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471.6,0,0,733.6,943.2,0,2358,0,0,0,0,0,0,0,0,0,0,0,0,0,104.8,52.4,0
Jun97,four,0,52.4,0,0,157.2,0,366.8,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,157.2,0,0,0,0,0,0,0,0,0,0,0,0,52.4,52.4,0,52.4,0,0,0,0,52.4,52.4,104.8,0,52.4,157.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209.6,104.8,366.8,0,209.6,681.2,1048,157.2,1781.6,0,52.4,0,0,0,0,0,0,0,0,314.4,0,0,0,0,0
Jan99,four,0,52.4,0,0,0,0,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.8,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,52.4,0,0,0,0,157.2,0,0,733.6,209.6,52.4,0,0,0,0,0,209.6,0,0,0,0,0,0,0,0,52.4,0,786,0,104.8,1781.6,838.4,0,1100.4,0,0,0,52.4,0,0,0,0,0,0,0,0,0,104.8,0,0
Jul00,four,0,0,0,0,104.8,0,209.6,0,52.4,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,209.6,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,52.4,0,0,0,157.2,0,0,0,0,0,104.8,0,0,0,0,0,0,52.4,366.8,0,52.4,0,1676.8,0,0,104.8,157.2,0,1624.4,52.4,0,0,0,0,0,0,209.6,0,0,0,0,0,0,0,0
Aug00,four,0,0,0,0,0,0,157.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.2,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,733.6,0,0,0,157.2,0,0,366.8,419.2,0,628.8,0,0,0,0,0,0,0,0,0,0,209.6,0,0,0,0,0
Nov00,four,0,0,0,0,0,0,209.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.2,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314.4,0,0,0,209.6,0,52.4,419.2,681.2,0,1834,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0
Dec00,four,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,890.8,0,0,0,628.8,0,104.8,262,1362.4,157.2,995.6,0,0,0,0,0,0,0,0,52.4,0,52.4,0,0,0,0,0
Jul01,four,0,0,0,0,104.8,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,786,0,0,471.6,366.8,0,1414.8,0,0,0,0,0,0,0,0,0,0,52.4,0,104.8,104.8,0,0
May02,four,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576.4,0,0,628.8,419.2,0,838.4,0,0,0,0,0,0,0,0,0,0,52.4,0,0,52.4,0,0
Jun02,four,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,52.4,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,681.2,0,0,419.2,681.2,0,524,0,0,0,0,0,0,0,0,0,0,419.2,314.4,0,0,52.4,52.4
Jul02,four,52.4,0,0,0,0,0,366.8,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209.6,0,0,104.8,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,314.4,0,0,471.6,419.2,157.2,314.4,0,0,0,0,0,0,0,0,104.8,0,157.2,0,52.4,104.8,0,0
Aug02,four,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,0,52.4,681.2,995.6,104.8,1729.2,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0
Sep02,four,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209.6,52.4,0,52.4,1676.8,0,524,0,0,0,0,0,0,0,0,0,0,52.4,0,52.4,0,0,0
Nov02,four,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.2,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,52.4,157.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366.8,52.4,0,838.4,1572,0,1048,0,0,0,0,0,0,0,0,0,0,0,0,0,104.8,0,0
Dec02,four,0,0,0,0,0,0,157.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1257.6,0,0,0,890.8,0,0,1310,419.2,0,1152.8,0,0,0,0,0,0,0,0,0,0,52.4,0,52.4,52.4,0,0
Jul03,four,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,104.8,0,0,0,0,0,0,0,419.2,0,0,0,471.6,0,0,1362.4,1414.8,0,1519.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Set04,four,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366.8,0,0,1310,1205.2,0,1152.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb06,four,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471.6,0,0,1100.4,419.2,0,471.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May06,four,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,681.2,0,0,314.4,419.2,0,314.4,0,0,52.4,52.4,0,0,0,0,0,0,52.4,0,0,0,0,0
Set07,four,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,52.4,0,471.6,0,0,1624.4,2515.2,0,1938.8,0,0,104.8,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb10,four,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,0,0,314.4,366.8,0,366.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1257.6
Sep10,four,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.8,0,0,0,0,0,104.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb11,four,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.8,0,157.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May11,four,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,314.4,0,0,104.8,419.2,0,314.4,0,0,0,0,0,0,0,0,0,0,104.8,0,0,0,0,0
Sep11,four,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366.8,0,0,419.2,628.8,0,471.6,0,0,52.4,0,0,0,0,0,0,0,0,0,0,52.4,0,0
